DogID,Weight (kg),Date,Hour,Behaviour Pattern,Activity Level (steps),Heart Rate (bpm),Calorie Burn,Temperature (C),Food Intake (calories),Water Intake (ml),Breathing Rate (breaths/min),Barking Frequency
CANINE001,7.2,01-01-2021,0,Normal,427,122,14.3,28.5,0.0,2.0,29,High
CANINE001,7.2,01-01-2021,1,Normal,279,109,9.1,27.8,0.0,29.3,28,Medium
CANINE001,7.2,01-01-2021,2,Sleeping,0,109,1.0,26.5,0.0,0.0,17,None
CANINE001,7.2,01-01-2021,3,Sleeping,0,105,2.0,25.5,0.0,0.0,16,None
CANINE001,7.2,01-01-2021,4,Sleeping,0,104,3.0,25.8,0.0,0.0,15,None
CANINE001,7.2,01-01-2021,5,Sleeping,0,113,3.0,24.6,0.0,0.0,15,None
CANINE001,7.2,01-01-2021,6,Sleeping,0,111,1.0,27.5,0.0,0.0,15,None
CANINE001,7.2,01-01-2021,7,Sleeping,0,105,3.0,24.7,0.0,0.0,16,None
CANINE001,7.2,01-01-2021,8,Sleeping,0,107,2.0,27.5,0.0,0.0,15,None
CANINE001,7.2,01-01-2021,9,Eating,171,109,5.9,26.6,151.9,85.0,25,None
CANINE001,7.2,01-01-2021,10,Walking,3003,133,87.5,32.4,0.0,0.0,27,High
CANINE001,7.2,01-01-2021,11,Sleeping,0,108,1.0,27.4,0.0,0.0,16,None
CANINE001,7.2,01-01-2021,12,Normal,386,116,14.1,28.8,0.0,49.8,19,None
CANINE001,7.2,01-01-2021,13,Normal,471,104,14.6,27.7,0.0,19.7,17,None
CANINE001,7.2,01-01-2021,14,Normal,481,107,14.9,28.3,0.0,59.7,24,Low
CANINE001,7.2,01-01-2021,15,Normal,361,109,13.4,25.0,0.0,56.8,19,None
CANINE001,7.2,01-01-2021,16,Eating,268,104,8.7,27.4,109.4,129.7,26,None
CANINE001,7.2,01-01-2021,17,Sleeping,0,104,3.0,26.3,0.0,0.0,16,None
